Operator,Position,Gate,New_gate,New_params,New_qubits,Score,Evaluation,Timestamp,Total_exec_time,Total_evaluations,First_score,Overall_improvement,Overall_improvement_percent
Replace,2,ccx,rxx,[-3.093984553300742],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 1))",6.984250984251476,2012,1769704763.5901015,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,4,,crx,[3.090071934351548],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 1))",6.984250984251476,12014,1769704815.9547708,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,1,x,rzx,[3.0927486327233558],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 2))",6.984250984251476,119000,1769706154.3950446,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,0,x,ryy,[-3.092416565121259],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 1))",6.984250984251476,72989,1769705608.5718932,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,2,ccx,ryy,[-0.05079210882866869],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 1))",6.984250984251476,10014,1769704788.3437085,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,5,,crx,[0.049133488494771616],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 1))",6.984250984251476,107990,1769706041.04007,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,5,,crx,[3.0903824177708517],"(Qubit(QuantumRegister(3, 'q'), 2), Qubit(QuantumRegister(3, 'q'), 1))",6.984250984251476,149998,1769706563.639116,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,1,x,ry,[-0.048643968829081174],"(Qubit(QuantumRegister(3, 'q'), 0),)",6.984250984251476,40999,1769705201.3494165,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,0,x,rx,[-3.091022232159656],"(Qubit(QuantumRegister(3, 'q'), 1),)",6.984250984251476,125001,1769706272.2737215,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,2,ccx,crx,[-3.09157327465988],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 2))",6.984250984251476,17011,1769704937.1872926,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,4,,ry,[-3.089128364913031],"(Qubit(QuantumRegister(3, 'q'), 2),)",6.984250984251476,116993,1769706150.9287572,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,2,ccx,ryy,[-3.0940288949138783],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 2))",6.984250984251476,67986,1769705547.5986798,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,2,ccx,rxx,[0.049367049577441424],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 1))",6.984250984251476,80985,1769705711.5195832,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,1,x,cry,[3.093181381044004],"(Qubit(QuantumRegister(3, 'q'), 1), Qubit(QuantumRegister(3, 'q'), 0))",6.984250984251476,150999,1769706566.6516042,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,1,x,rx,[-3.091622719297526],"(Qubit(QuantumRegister(3, 'q'), 1),)",6.984250984251476,131001,1769706329.3810678,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,0,x,rx,[-0.051302307632304256],"(Qubit(QuantumRegister(3, 'q'), 2),)",6.984250984251476,129001,1769706310.4220064,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,4,,r,"[-0.04931060784177266, -1.5052843888523153]","(Qubit(QuantumRegister(3, 'q'), 1),)",6.984250984251476,94995,1769705907.526838,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Replace,2,ccx,ryy,[-0.04786403304824649],"(Qubit(QuantumRegister(3, 'q'), 0), Qubit(QuantumRegister(3, 'q'), 1))",6.984250984251476,60988,1769705502.6153958,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
Add,0,x,r,"[3.092412260150268, 1.2310809241864034]","(Qubit(QuantumRegister(3, 'q'), 0),)",6.984250984251476,106990,1769706002.9481683,7200.338375091553,585011,7.0,0.01574901574852383,0.22498593926462618
